1,4200392
2,3905589
3,6340871
4,5722313
5,3127254
6,4908581
7,3229865
8,4830216
9,4922130
10,8227208
11,4035691
12,8267532
13,8645746
14,8850618
15,5991950
16,4091944
17,2825149
18,6331256
19,3911457
20,2943020
21,5746359
22,3182552
23,8260710
24,1108399
25,3573901
26,6869003
27,2475890
28,5680263
29,4674738
30,7830455
31,5504163
32,4197435
33,8536921
34,4076055
35,6598255
36,5960228
37,2901395
38,1018990
39,7200451
40,4833135
41,7724595
42,5571665
43,3002177
44,8876944
45,5082478
46,8444013
47,2335770
48,7147011
49,4819426
50,5279337
51,7672102
52,1063064
53,2531944
54,8110823
55,5431893
56,1711714
57,3121081
58,3466534
59,4701800
60,3306199
61,7609395
62,8569865
63,3463213
64,8038180
65,3409737
66,7107361
67,6751108
68,3584386
69,8898319
70,4100249
71,8891121
72,8996421
73,2969764
74,4630266
75,7184977
76,6533855
77,5212952
78,3285298
79,1050074
80,3720020
81,7236423
82,5816183
83,5597624
84,2292917
85,7207099
86,2574629
87,3538814
88,6417957
89,2438053
90,5921928
91,3211148
92,1458410
93,1275761
94,8731382
95,8602843
96,7433434
97,4963454
98,4504003
99,1242364
100,7376177
101,7713787
102,8850207
103,3167224
104,5279573
105,1244316
106,8324883
107,4008658
108,4313567
109,4422586
110,6082331
111,2394961
112,1012754
113,3435007
114,2711445
115,6814686
116,1043300
117,6618622
118,2139769
119,4900723
120,4987934
121,6907706
122,2692975
123,6689606
124,8144191
125,7962611
126,7153714
127,5123061
128,6308194
129,3431130
130,8314363
131,3563566
132,8173121
133,6160649
134,4636426
135,2690925
136,4011023
137,6932854
138,7400629
139,6944790
140,8412489
141,3956269
142,8512866
143,7067319
144,3496390
145,1777047
146,4067471
147,1991109
148,7820589
149,3854609
150,2718241
151,5004106
152,1478837
153,4321071
154,3242223
155,6131178
156,5145486
157,8981625
158,5636364
159,2341302
160,1433375
161,6312170
162,4614786
163,1939138
164,6375238
165,8400084
166,1589390
167,4826114
168,3157455
169,7572475
170,4514891
171,3874694
172,6468447
173,8739967
174,4587198
175,6488038
176,2541020
177,3530453
178,4117411
179,6444611
180,4535087
181,1094656
182,8734205
183,3101011
184,1039380
185,6503434
186,7614475
187,5745121
188,5900161
189,6021111
190,7696059
191,5742048
192,3462353
193,2576248
194,1600957
195,8199005
196,7459801
197,6132016
198,7839061
199,7577148
200,7486241
201,7969062
202,3246103
203,4367439
204,7719928
205,7488426
206,4341306
207,4227752
208,3661144
209,5738870
210,7075175
211,8864544
212,7837153
213,8626852
214,8830187
215,5775598
216,3383391
217,7182548
218,1427317
219,7005760
220,2398379
221,7237776
222,8354793
223,2866337
224,5200889
225,6642354
226,8839305
227,4376439
228,2988096
229,3239980
230,5413584
231,6688911
232,2990586
233,2210976
234,4194053
235,3638763
236,2826988
237,4312119
238,2300176
239,3639277
240,2937105
241,7338894
242,4071595
243,7285928
244,2287504
245,5828633
246,6109374
247,1963167
248,2537341
249,4918521
250,4723275
251,3258069
252,6256755
253,7692796
254,5866911
255,7949549
256,1656270
257,1910533
258,7293348
259,6761698
260,4918570
261,5099369
262,2287226
263,7993409
264,2308695
265,5189652
266,2686551
267,1852510
268,7706137
269,3159251
270,2791958
